name	@lat	@lon
Lubartów	51.4660473	22.6052895
Pruchnik	49.9061358	22.5160585
Skoczów	49.7999039	18.7877583
Mogielnica	51.6929526	20.7233710
Warka	51.7850969	21.1833835
Głowaczów	51.6231797	21.3177054
Zwoleń	51.3564745	21.5844652
Białobrzegi	51.6482305	20.9497458
Pionki	51.4730031	21.4438404
Jedlnia-Letnisko	51.4303531	21.3292505
Siedliszcze	51.1946235	23.1648455
Góra	51.6681499	16.5393277
Kamienna Góra	50.7837361	16.0336631
Lubawka	50.7070882	16.0003894
Narol	50.3488112	23.3274426
Turobin	50.8218458	22.7448995
Biłgoraj	50.5424846	22.7209326
Bychawa	51.0152225	22.5345350
Szczebrzeszyn	50.6946972	22.9786754
Urzędów	50.9939046	22.1435756
Kraśnik	50.9249236	22.2292060
Rejowiec Fabryczny	51.1191844	23.2467333
Janów Lubelski	50.7065895	22.4110663
Tyszowce	50.6172008	23.6982172
Nisko	50.5198985	22.1398860
Rudnik nad Sanem	50.4447766	22.2440326
Ulanów	50.4904352	22.2625676
Annopol	50.8851655	21.8550836
Radlin	50.0486957	18.4791456
Lubań	51.1180898	15.2892651
Olszyna	51.0655505	15.3753102
Karpacz	50.7747485	15.7542035
Ostroróg	52.6267433	16.4491743
Obrzycko	52.7064375	16.5252416
Rakoniewice	52.1393485	16.2738532
Mieszkowice	52.7854120	14.4954296
Dębno	52.7396681	14.7014522
Suchań	53.2799427	15.3188331
Brzeg	50.8614882	17.4704970
Niemcza	50.7163426	16.8350398
Kowary	50.7937534	15.8338236
Sienno	51.0849800	21.4734506
Łagów	50.7754877	21.0839837
Słupca	52.2872924	17.8713612
Wieluń	51.2204544	18.5700965
Radzionków	50.4002717	18.9026247
Grodków	50.6981570	17.3849804
Orneta	54.1155533	20.1303378
Halinów	52.2258575	21.3529522
Czarny Dunajec	49.4404930	19.8535612
Kleszczele	52.5741730	23.3254851
Lipno	52.8473901	19.1792654
Krzywiń	51.9629280	16.8192950
Police	53.5486435	14.5657399
Drezdenko	52.8398486	15.8318163
Sierpc	52.8529055	19.6675433
Skępe	52.8671562	19.3465204
Kosów Lacki	52.5960805	22.1471764
Wisła	49.6523647	18.8709256
Kalety	50.5636291	18.8857460
Drobin	52.7377981	19.9893151
Kuźnia Raciborska	50.2007002	18.3105735
Radymno	49.9517176	22.8183129
Dynów	49.8134771	22.2338151
Mszana Dolna	49.6779756	20.0820073
Jordanów	49.6492876	19.8299532
Dobczyce	49.8803432	20.0905415
Kańczuga	49.9843732	22.4131838
Sieniawa	50.1780728	22.6102155
Hel	54.6066432	18.8027076
Kruszwica	52.6743797	18.3254766
Koziegłowy	50.5978707	19.1615203
Dobra	51.9161774	18.6159693
Koło	52.2019866	18.6359912
Kietrz	50.0796271	18.0021082
Głubczyce	50.2001072	17.8301977
